Location report,,,,,,,,,,
12 June 2026 - 12 June 2026,,,,,,,,,,
Location,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Ahtari, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Sechura Province, Piura, Peru", --,0,0, --,USD,0,0,0.00%,0,0
"Singapore River, Singapore", --,0,0, --,USD,0,0,0.00%,0,0
"Pohja-Parnumaa Parish, Parnu County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
"Liperi, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Kuortane, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Alto Amazonas Province, Loreto, Peru", --,0,0, --,USD,0,0,0.00%,0,0
"Ringerike Municipality, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Auvergne-Rhone-Alpes, France", --,0,0, --,USD,0,0,0.00%,0,0
"5412, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Porto Alegre, State of Rio Grande do Sul, Brazil", --,0,0, --,USD,0,0,0.00%,0,0
"Corrientes Province, Argentina", --,0,0, --,USD,0,0,0.00%,0,0
"Mendoza Province, Argentina", --,0,0, --,USD,0,0,0.00%,0,0
"Suceava County, Romania", --,0,0, --,USD,0,0,0.00%,0,0
"Bjerkreim Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Sigdal Municipality, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Solund Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Eidsvoll Municipality, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Nordland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Farsund Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"83960, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Tysvaer, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Kauhava, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Sogne Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Norway, --,0,0, --,USD,0,0,0.00%,0,0
"Kuopio, North Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Ullensaker Municipality, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Apure, Venezuela", --,0,0, --,USD,0,0,0.00%,0,0
"Karmoy, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"62200, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Amli Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Rollag Municipality, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"2634, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Greater Poland Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Tinn Municipality, Telemark, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Meldal Municipality, Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Monaco, --,0,0, --,USD,0,0,0.00%,0,0
"Vindafjord Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Stord Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Lieksa, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
Czechia, --,0,0, --,USD,0,0,0.00%,0,0
South Korea, --,0,0, --,USD,0,0,0.00%,0,0
"Trysil Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Estonia, --,0,0, --,USD,0,0,0.00%,0,0
Nicaragua, --,0,0, --,USD,0,0,0.00%,0,0
"Kvinesdal Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Bosnia and Herzegovina, --,0,0, --,USD,0,0,0.00%,0,0
"Hauts-de-France, France", --,0,0, --,USD,0,0,0.00%,0,0
"Iveland Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Bulgaria, --,0,0, --,USD,0,0,0.00%,0,0
Sor-Fron, --,0,0, --,USD,0,0,0.00%,0,0
Qatar, --,0,0, --,USD,0,0,0.00%,0,0
Malaysia, --,0,0, --,USD,0,0,0.00%,0,0
Slovakia, --,0,0, --,USD,0,0,0.00%,0,0
